,Unnamed: 0,字段,标题
545,,10:34,【华为哈勃入股青芯意诚合伙企业】天眼查App显示，近日，宁波梅山保税港区青芯意诚企业管理咨询合伙企业（有限合伙）发生工商变更，新增合伙人华为关联公司哈勃科技投资有限公司、北京怡和家投资发展有限公司等。该企业成立于2020年8月，执行事务合伙人为宁波梅山保税港区芯鑫清大投资管理有限公司，经营范围含企业管理咨询；信息咨询服务；企业管理等。
544,,10:35,证券板块持续走高，广发证券一度触及涨停，兴业证券、华鑫股份、红塔证券跟涨。
540,,10:36,港股区块链板块上行。火币科技涨6.6%，美图涨6%，欧科云链涨5.1%，雄岸科技涨超2%。
541,,10:36,南方中证科创创业50ETF联接基金8月9日起正式发行，募集规模上限为30亿元。（券商中国）
543,,10:36,美国国家飓风中心：风暴“凯文”的强度保持稳定，但预计仍将加强。
542,,10:36,【固特异、米其林轮胎9月起将涨价】 8月7日，固特异董事长、首席执行官兼总裁Rich Kramer在最新的财报电话会议上告诉投资者，9月1日起，固特异和固铂的乘用车胎、轻卡轮胎价格将上涨8%。此前，米其林北美公司宣布，从9月1日起，美国和加拿大的某些售后市场米其林、BFGoodrich和Uniroyal乘用车和轻型卡车轮胎的价格将上涨8%。从9月初开始，公路和越野商用轮胎的价格将上涨14%，而摩托车轮胎的价格将上涨4%。（轮胎商业）
539,,10:38,【比亚迪于盐城成立电池新公司，注册资本5000万】8月6日，盐城弗迪电池有限公司成立，法定代表人为何龙，注册资本5000万元人民币，经营范围包含：汽车零部件及配件制造；汽车零部件研发；汽车零配件批发；汽车零配件零售；新能源汽车电附件销售等。该公司由弗迪实业有限公司100%控股，后者为比亚迪全资子公司。
538,,10:39,【江苏南京两个地区由中风险调整为低风险地区】根据国家和省关于应对新冠肺炎疫情精准防控工作要求，经疫情防控专家组评估，自2021年8月9日起，南京市部分区域疫情风险等级进行了调整，建邺区南苑街道吉庆家园小区、鼓楼区挹江门街道大桥南路10号，由中风险地区调整为低风险地区。其他地区风险等级不变。（央视新闻）
537,,10:45,恒指涨幅扩大至1%，此前一度跌0.8%，短视频概念股、内房股涨幅居前；成分股中，美团涨6%，为恒指贡献超100点涨幅。
536,,10:45,【国家计算机病毒应急处理中心监测发现十四款违法移动应用】国家计算机病毒应急处理中心近期通过互联网监测发现14款移动应用存在隐私不合规行为，违反《网络安全法》相关规定，涉嫌超范围采集个人隐私信息。其中，未向用户明示申请的全部隐私权限，涉嫌隐私不合规的包括《江淮汽车》（版本3.3.2，vivo应用商店）、《儿童学英语》（版本4.5，豌豆荚）、《快手棋牌馆》（版本1.9.30，快手广告推广）等。（新华社）
535,,10:45,【南京市目前有207例确诊病例在院治疗 所有患者病情平稳】截至目前，南京市还有207例确诊病例在南京市公共卫生医疗中心治疗，其中59例为轻型，148例为普通型，没有重型和危重型病例。目前所有患者病情平稳。（央视新闻）
534,,10:47,富时中国A50指数期货日内涨幅扩大至2％。
533,,10:50,【武汉累计核酸检测1128.5779万人，基本实现全覆盖】 湖北省疫情防控指挥部召开新闻发布会，截至8月8日，武汉累计核酸检测1128.5779万人，除暑期外地离校大学生和6岁以下儿童外，基本实现全覆盖。此外，咸宁市崇阳县完成检测19461人次，结果均为阴性。荆门市已完成采样61.45万人，鄂州市完成采样96.7万人次。荆州市中心城区、黄冈市红安县、荆州市沙市区（第三轮）全员核酸检测已完成，结果均为阴性。
532,,10:56,钢铁板块持续拉升，中信特钢涨超6%，新钢股份、宝钢股份、友发集团跟涨。
531,,10:57,【房地产板块全线反弹】金地集团涨停，保利地产涨超9%，新城控股、万科A、金科股份、中交地产、招商蛇口、华侨城等涨超5%。
530,,10:57,北向资金净流入达30亿元。
529,,10:58,【保利地产触及涨停】保利地产触及涨停，成交额17.33亿元 。
528,,10:59,【上海市数据条例正研究公共数据授权运营，第三方数据服务机构将迎来新机遇】记者从参与《上海市数据条例》立法工作的相关人士处了解到，目前立法组正研究公共数据授权运营的相关条例，未来第三方数据服务机构或将通过备案或注册的形式“持牌”运营，公共数据市场化运营将获得法律保障。（21财经）
527,,11:00,【港股腾讯控股涨幅扩大至3%】港股腾讯控股涨幅扩大至3%，现报467港元，成交额91亿港元。
526,,11:02,【上期所不锈钢期货主力合约大跌4%】上期所不锈钢期货主力合约下跌4.18%，报18115元/吨。
525,,11:02,隔夜SHIBOR报2.2120%，上涨35.30个基点。7天SHIBOR报2.1450%，上涨15.10个基点。3个月SHIBOR报2.3600%，下降0.80个基点。
523,,11:06,【上汽集团与中兴通讯签署战略合作协议】近日，上汽集团与中兴通讯在深圳签署战略合作协议，双方将在汽车电子、5G行业、数字化、品牌建设、企业管理等领域展开深入合作。上汽集团副总裁、总工程师祖似杰，副总工程师张觉慧一行和中兴通讯执行董事、执行副总裁顾军营，中兴通讯副总裁、汽车电子产品线总经理古永承等出席签约仪式。
524,,11:06,【消息称台积电下半年将暂停调涨28nm报价】据业内人士透露，台积电28nm代工价格先前略为调涨后，下半年将暂停调涨报价，以维系长期的客户关系。 (台湾电子时报)
522,,11:13,富国银行分析师表示，尽管美国7月非农就业数据强劲，再度激发了市场对美联储提早缩减宽松措施的押注，但事实上这还不足以立即推动美联储考虑采取宽松减码行动。美联储更有可能在此后观望更多数据之后再做出决定。虽然，美联储仍有可能在11月份就开始执行缩减QE行动，但是如果Delta变异株病毒的扩散之后再度对经济与就业活动造成冲击，那么美联储的政策前景也会再度充满变数。
521,,11:16,【印度尼西亚加密交易所Pintu完成3500万美元A轮融资】8月9日消息，印度尼西亚加密货币交易所Pintu已经完成了由光速创投领投的3500万美元A轮融资。Alameda Ventures、Blockchain.com Ventures、Castle Island Ventures、Coinbase Ventures和其他公司也参与其中。资金将用于招聘工作，通过战略伙伴关系提高Pintu的市场地位，开展教育性营销活动，以及提供新产品和功能。
520,,11:22,【江苏南京各类在建工地约37.82万人 三轮检测未发现核酸阳性人员】今天（8月9日）上午，江苏省南京市召开疫情防控新闻发布会。南京市建委副主任宋刚介绍：南京市建筑工地数量多、分布广，人员集中，目前全市各类在建的工地有2663个，包括建筑、市政、交通、水务、绿化园林，从业的人员大概有37.82万多人。到目前为止，所有人员都按照要求进行了三轮以上的核酸检测，未发现核酸检测为阳性人员。（央视）
519,,11:27,【美国参议院基础设施法案投票预计将延长至周二】在上周末就美国总统拜登提出的1万亿美元基础设施法案展开争论后，参议院周日就这一数十年来对道路和桥梁的最大投资的细节取得了进展。据美联社报道，由于共和党参议员Bill Hagerty拒绝在强制辩论时间上让步，最终投票可能会拖到周二早间。最新消息显示，美国参议院投票放弃与该法案相关的预算法案，朝着通过该法案又迈进了一步。
518,,11:28,【楚天科技生产满负荷运行 赶制新冠疫苗生产设备】近期多地新冠疫情散发，楚天科技在严格做好疫情科学防控的前提下，开足马力生产，特别是赶制新冠疫苗生产设备。楚天科技安委会副主任、安全生产与设备管理部部长胡强介绍，像机加工设备是满负荷运转，总装车间等各设备生产车间也是轮班作业；按照相关规定，企业全员已经完成新冠疫苗接种，近日也以极高效率完成全员核酸检测，排除风险。
517,,11:32,"【午评】上证指数涨近1%，逼近3500点！地产股延续涨势，保利地产冲击涨停；食品饮料股走强，双汇发展涨近7%；芯片锂电等赛道股全线回落。

三大股指早盘严重分化，沪指大涨逼近3500点，创业板指一度跌超2%。截至收盘，沪指涨0.94%，深成指涨0.37%，创指跌1.64%，上证50涨幅扩大至1.5%。两市半日成交额近9000亿，北向资金净流入近40亿，个股涨多跌少，超2800家上涨。"
516,,11:32,国债期货早盘收盘，10年期主力合约跌0.37%，5年期主力合约跌0.23%，2年期主力合约跌0.09%。
515,,11:32,【人民日报旗下“踏浪青年”：锐评阿里王成文性侵事件】不仅要把权力关进笼子里，更要把资本关进笼子里。不要妄想大而不倒，更不要妄想像韩国财阀一样操控一切，这里是中国。
514,,11:33,A股午盘休盘，三大股指涨跌不一，沪指涨0.94%，深成指涨0.37%，创业板跌1.64%，两市半天成交额8309亿元，北向资金净流入38.35亿元。
513,,11:34,印度汽车经销商协会联合会：印度7月份机动车登记数量为156万辆，同比增长34.1%。
512,,11:37,美国纽约州州长库莫(Andrew Cuomo)的一名高级助手Melissa DeRosa在州检察长报告称库莫对11名女性进行性骚扰后，于周日辞职。
511,,11:40,【扬州现有23例重型6例危重型】扬州市卫生健康委员会副主任王劲松在发布会上表示，2021年8月8日0-24时，我市新增本土新冠肺炎确诊病例38例（其中轻型4例，普通型33例，重型1例，没有危重型病例）。截至目前，全市累计报告本土确诊病例346例（其中轻型72例，普通型245例，重型23例，危重型6例），本土无症状感染者0例。（荔枝新闻）
510,,11:41,【野村二季度13F出炉：建仓Splunk，清仓Illumina】野村公布第二季度13F文件。文件显示，该行第二季度建仓Splunk，买入800万股；清仓Illumina。截至第二季度末，该行前五大持仓股为微软、苹果、亚马逊、英伟达和Adobe。中概股方面，该行第二季度建仓微博、陌陌科技、富途控股，减持百济神州、携程网、阿里巴巴、新东方等。
509,,11:46,印度新增35499例新冠肺炎确诊病例，累计确诊达3197万例。
508,,11:51,【浙江杭州提出“分布式光伏试点整县推进”标准化方案】近日，杭州市太阳能光伏产业协会标准化技术委员会2021年中工作会议在浙江中南幕墙设计研究院召开。面对社会各界高度关注如何规模化推进分布式光伏应用的当下，杭州市太阳能光伏产业协会标准化技术委员会提出“整县推进”标准化方案，将为行业发展提供智力支持和保障。(每日商报）
507,,11:52,【SpaceX完成首笔公开收购 增强卫星网络覆盖能力】美国联邦通信委员会(FCC)的文件显示，美国太空探索技术公司SpaceX已经完成了对卫星通信初创公司Swarm的收购。这可能是特斯拉成立21年以来，历史上的首次公开收购。在最新提交的申请中，Swarm要求将所有FCC许可证转让给SpaceX，因为它已经成为SpaceX的全资子公司。Swarm利用他们的纳米卫星为物联网设备提供低成本的数据计划，因此SpaceX的收购可能对双方客户都有利。
506,,11:54,【国际油价下挫2%，受亚洲防疫限制及美元升势打压】据外媒报道，油价周一下挫2%，延续了上周的大幅下跌，因美元上涨，以及担心亚洲的新疫情遏制措施，可能使全球燃料需求复苏受挫。RBC分析师Gordon Ramsay在一份报告中称，随着Delta变种病毒感染率的加快，对全球石油需求可能受到侵蚀的担忧再次出现。
505,,11:57,【降价！榆林煤价最高降幅130元/吨】上周五开始，产地部分煤矿开始下调煤价，尤其周六个别大矿新标量放出，起拍价稍有下调，致使市场看跌情绪继续蔓延。目前榆林地区降价煤矿主要集中在榆阳区，个别煤矿连续两天下调价格，累计降幅高达130元/吨。(榆林煤炭交易中心)
504,,11:58,【午间公告：晓鸣股份7月鸡产品销售收入同比增91%】安科生物公告，参股公司博生吉公司收到药物临床试验批准通知书，国家药品监督管理局同意博生吉公司开展治疗成人复发/难治性CD7阳性血液淋巴系统恶性肿瘤的临床试验；此次获临床试验批准的是博生吉公司自主研发的国际首款基于纳米抗体的CD7-CAR-T细胞注射液。晓鸣股份安科生物公告，7月销售鸡产品1406.81万羽，环比增长4.22%，同比增长0.66%；销售收入5249.4万元，环比下降0.15%，同比增长91.07%。
503,,12:01,【济青高铁青岛机场站正式启用】据中国铁路济南局集团有限公司消息，8月9日，济青高铁青岛机场站正式启用，运营初期铁路部门将安排开行动车组列车10列，青岛、济南、淄博、潍坊、日照、临沂等地区旅客均可乘坐高铁直达青岛机场站。济青高铁青岛机场站位于青岛胶东国际机场航站楼地下，是山东省内首座地下高铁站，站房面积78500平方米，规模为2台4线，站厅层为地下一层，站台层为地下二层。
502,,12:02,中国铁塔在港交所公告，2021年上半年实现营收426.7亿元，净利润34.6亿元。
501,,12:03,【扬州市主城区第四轮大规模核酸检测全面完成】今天上午，江苏省扬州市召开疫情防控新闻发布会。扬州市卫生健康委员会副主任王劲松介绍，截至8月8日24时，扬州市主城区第四轮大规模核酸检测全面完成。今天上午6时30分，扬州市已经启动主城区第五轮大规模核酸检测。（央视新闻）
500,,12:07,小鹏汽车：小鹏汽车首批11个高速超充站上线，为国内首家。
499,,12:11,【香港恒指午间休盘涨0.94%，美团收涨5.24%】香港恒指午间休盘涨0.94%，恒生科技指数涨0.05%；建材水泥、房地产板块领涨；军工、半导体、汽车板块跌幅居前；美团收涨5.24%，阿里巴巴收跌2.69%，中芯国际收跌5.15%。
498,,12:19,【发布技术需求清单 重庆力促33条重点产业链“补链强链”】重庆市经信委、科技局近日联合发文，针对重庆“十四五”期间重点发展的33条产业链，发布需要补强的关键、重要技术需求清单。以此为基础，重庆将加快推动产业技术领域补齐“短板”、锻造“长板”，助力建设具有全国影响力的科技创新中心和国家重要先进制造业中心。据悉，33条产业链涵盖燃油汽车、摩托车、通机装备等传统制造业，集成电路、新型显示、软件等战略性新兴产业，以及个人美妆、特色食品等。清单逐一明确了各条产业链关键、重要技术需求。（新华社）
497,,12:21,杰富瑞：将特斯拉的评级从“持有”上调至“购买”，目标价从700美元/股上调至850美元/股。
496,,12:21,【地方将预留部分专项债额度12月发行，明年额度将保持较高水平】记者从多位地方财政、地方债承销行人士处获悉，按照监管要求，地方将预留部分专项债额度在今年12月发行，这部分资金需在明年年初支出形成实物工作量。“地方政府专项债券已成为地方政府建设项目的重要资金来源。近年来国家大幅增加地方政府债券发行规模，明年也将继续保持较高水平。”（21财经）
495,,12:28,【上海证监局：拟对上海富控给予警告 并处以六百万元罚款】上海证监局：拟对上海富控给予警告，并处以六百万元罚款，拟对直接负责的主管人员及其他直接责任人员给予警告，并处以五十万元至四百万元不等的罚款，拟对两名直接负责的主管人员采取市场禁入措施。本案是上海证监局首次适用新《证券法》处罚的信息披露违法违规案件。
494,,12:30,【明泰铝业：公司锂电池铝箔年产能1万吨左右】 明泰铝业在互动平台表示，公司目前锂电池铝箔年产能1万吨左右。
493,,12:32,【小米：近两年技术研发投入以每年30%速度增长】小米表示，近两年来在技术研发方面的投入以每年30%速度增长，取得的成绩非常显着，除了手机充电方面的领先以外，在芯片和智能生活方面亦有布局与产出，未来将坚持以技术为本。
492,,12:39,【瑞银：下调快手目标价至115港元 此前为400港元】瑞银发表研究报告指出，维持对快手买入评级，目标价由400港元大幅降至115港元，以反映其用户趋势的短期压力，以及直播收入转弱、电商变现减慢及近期经营开支提升等，料今年日活跃用户将按年升14.7%至3.03亿人，而次季日活跃用户则会按季跌1%。
491,,12:39,【机构分析：美元疲软 金价反弹至1750美元/盎司下方】现货金价从接近四个月低点的1680美元/盎司反弹至1740美元/盎司附近，盘中仍跌约1.4%。美元指数DXY盘整以及市场风险偏好回升推动这波金价反弹，但在美联储缩减购债的担忧和新冠疫情持续的影响下，空头依然占优。若金价再度跌破1700美元/盎司整数关口，料进一步回落至1680-1688美元/盎司区间。
490,,12:44,【山东烟台两轮核酸采样检测1300多万人次 结果均为阴性】8月9日，山东省烟台市召开第8场疫情防控新闻发布会，从发布会上获悉，烟台市两轮核酸检测共完成采样检测1300多万人次，结果均为阴性。（央视新闻）
489,,12:46,【阿里涉侵犯男员工曾到字节面试并通过一面？字节回应：属实，核查后已终止】今日有社交平台传出，阿里巴巴涉侵犯男员工王成文（曲一）曾到字节跳动面试，并通过一面。有疑似字节跳动官方账号回应该帖称：“这名候选人确实在我司某岗位招聘流程当中，且通过第一轮初筛，面试时间再事件曝出之前，面试官和HR并不知情。在核查后，已经第一时间在人才库中备注，并无限期终止该候选人招聘流程。”针对上述消息，字节跳动回应全天候科技：属实。
488,,12:47,【东方证券点评美国7月非农：下半年服务业继续引领就业强修复】下半年服务业将继续引领美国就业市场的复苏，保证月度净增非农维持在80-100万的规模。目前美国非农就业总规模和疫情前的2020年2月比较，仍存在570万左右的缺口。按照我们的预测节奏，美国就业市场仍将在2020年12月前后完成疫情带来的就业缺口的修复。在政策节奏上，维持判断美联储在2020年底或2021年初启动taper（缩减购债）的判断，但是关于taper操作的细则或在8月底的杰克逊霍尔峰会上成为公开信息。
487,,12:47,【消息称Apple Car团队走访韩国SK集团、LG电子等企业】台湾电子时报消息，业内消息称，苹果Apple Car研发团队近日走访韩国SK集团、LG电子等企业。业内分析，这或许意味着苹果将与韩国汽车零部件企业建立合作。
486,,12:57,【湖北核酸检测再降价！湖北核酸检测下调至60元】8月9日，湖北省医疗保障局网站发布关于调整新型冠状病毒核酸检测项目价格的通知。公立医疗机构开展新型冠状病毒核酸检测项目的最高限价由每次80元调整为60元。设立混合检测项目，公立医疗机构混合检测10人份的最高限价为每人次15元。
485,,13:01,搜狐第二季度营收2.04亿美元，同比减少52％。
484,,13:03,【猪肉板块午后持续拉升】猪肉板块午后持续拉升，巨星农牧、湘佳股份等涨停，牧原股份、龙大肉食跟涨。
482,,13:04,港股恒大概念股午后走高，恒大物业、中国恒大涨超6%，恒腾网络涨超4%，恒大汽车涨超3%。
481,,13:04,白酒概念午后持续走高，皇台酒业此前涨停，贵州茅台涨超2%，岩石股份、顺鑫农业、舍得酒业跟涨。
483,,13:04,俄罗斯驻德国大使谢尔盖·涅恰耶夫表示，距离“北溪-2”天然气管道建设工程全部结束仅剩几周时间，美国与德国的声明不会对建设速度造成任何影响。（卫星新闻）
480,,13:05,【常州：暂停全市电影院营业】常州市疫情防控应急指挥部发布通告称，当前新冠肺炎疫情防控形势严峻，为有效阻击疫情的扩散，减少人群聚集，保障广大人民群众的身体健康和生命安全，经研究，决定即日起暂停全市电影院营业，恢复营业时间另行通知。各影院如有违反相关规定的，将依法依规从严处理。
479,,13:06,国防军工板块午后走弱，晨曦航空跌近10%，亚光科技、景嘉微、航宇科技跟跌。
478,,13:06,【星网锐捷与润和软件发布全国首款OpenHarmony智能支付终端】星网锐捷消息，近日，星网锐捷旗下升腾资讯与润和软件达成战略合作，发布全球首款基于OpenHarmony金融智能支付终端。OpenHarmony系统具有的分布式框架、跨设备流转、多设备联动等特性，可为多种金融设备的智能化、互联与协同提供统一的技术底座。
477,,13:06,【搜狐发布2021年二季度财报】搜狐发布2021年二季度财报。财报显示，该季度，搜狐总收入为2.04亿美元，较2020年同期增长28%；归于搜狐公司的美国通用会计准则持续经营业务净利润为2200万美元，去年同期净利润为1100万美元，上季度净利润为3200万美元。
476,,13:08,波兰央行委员Kropiwnicki：有可能最早11月加息。
475,,13:10,机械板块午后持续走高，中联重科涨超7%，三一重工涨逾5%，山推股份、安徽合力、山河智能等跟涨。
